Tx											Control					
10.47	2.67	2.78	13.76	2.73	2.52	3.48	2.46	2.4	10.41		4.23	3.67	2.23		Tx mean	4.66722408
3.4	3.82	2.73	3.23	3.75	2.92	6.94	12.04	11.9	3.82		3.28	2.16	3.52		Control mean	4.338378378
3.78	5.98	5.82	6.92	11.77	2.1	2.46	4.1	9.54	3.48		2.82	9.31	5.75			
13.99	2.35	3.32	4.29	3.85	3.63	4.33	2.46	3.89	2.92		2.62	2.92	2.23		Tx median	3.63
9.03	3.85	2.29	3.71	3.19	3.19	2.62	2.82	9.47	3.89		9.12	2.52	7.17		Control median	3.44
3.82	5.19	4	3.4	3.1	2.97	2.87	4.81	3.44	4		3.06	3.93	2.57			
8.34	3.23	2.92	2.97	4.69	2.92	6.25	8.11	7.71	3.15		3.4	6.94	3.19			
2.92	2.97	10.25	3.06	7.97	2.82	6.38	3.23	2.23	2.57		3.32	7.15	4.29			
2.46	2.87	2.4	8.84	3.19	3.82	2.78	8.76	3.56	2.03		2.29	4.16	2.52			
5.32	3.44	6.27	9.01	7.36	2.97	7.27	4.57	4.51	9.64		3.6	3.4	3.78			
4.81	6.84	2.16	5.84	5.48	4	7.82	2.87	3.19	4.33		3.01	3.52	3.78			
4.2	4	9.38	2.97	3.82	2.67	4.89	7.99	3.4	3.56		3.52	3.32	4.45			
2.82	4.13	2.29	3.1	3.23	6.25	10.49	2.16	2.87	3.52		4.86	2.67	3.56			
3.93	3.71	6.16	8.46	2.67	2.4	4.06	3.36	2.87	3.82		2.73	2.92	3.44			
2.78	2.35	3.4	6.27	3.19	3.75	8.47	5.22	2.67	7.17		3.75	2.03	2.57			
3.71	2.82	2.92	10.32	3.78	11.55	3.89	8.57	2.23	4.66		10.83	2.78	2.29			
2.57	4.54	2.46	2.78	3.06	6.07	5.79	10.24	4.6	8.64		2.92	6.18	4.54			
3.75	3.32	2.03	2.52	3.71	17.75	7.1	3.52	2.62	3.1		4.06	4.66	2.73			
3.52	2.4	3.75	2.23	3.4	2.67	8.44	3.01	6.29	4.63		6.4	2.73	3.01			
7.85	4.29	3.4	3.4	3.32	9.18	3.6	2.52	3.75	7.85		2.1	2.78	2.52			
9.24	3.23	3.06	4.33	9.95	3.82	8.33	2.57	6.59	3.52		2.23	9.83	10.57			
9.09	3.1	9.5	9.54	3.06	3.75	3.75	2.97	8.33	3.67		7.92	2.52	10.56			
12.17	3.01	2.16	2.73	4	2.62	9.07	9.15	2.62	3.93		3.89	6.98	2.1			
4.23	8.64	3.75	9.98	7.89	2.35	4.16	2.35	4.81	4.03		3.28	2.46	4.26			
2.03	2.78	2.67	4.03	3.75	3.48	14.57	2.52	3.93	3.48		3.06	10.93	6.36			
3.1	3.28	4.1	2.35	2.46	4.2	3.52	2.35	4.23	5		2.4	8.21	4.57			
2.97	13.3	2.82	2.78	3.89	12.72	6.98	16.15	3.93	2.35		3.82	2.92	9.72			
4.2	3.52	8.65	8.89	2.16	12.67	6.55	15.03	7.1	3.52		2.57	8.62	2.23			
2.67	7.87	2.03	2.16	3.4	3.06	2.67	3.6	8.31	4.72		2.97	2.23	2.4			
3.19	2.46	2.52	2.35	3.1	3.36	4.03	2.82	2.73	5.09		4.63	8.18	2.62			
8.68	3.63	4.98	3.36	2.52	2.29	3.1	3.15	4.16	3.19		3.06	3.15	3.78			
10.39	7.4	2.46	11.09	4.42	4.66	5.19	3.63	3.06	2.52		8.64	2.92	2.52			
2.1	3.6	11.73	3.82	3.32	9.27	14.51	2.73	5	2.92		3.01	3.67	2.29			
3.23	3.93	10.9	7.38	2.97	2.67	13.07	4.63	9.57	2.1		3.32	3.4	3.01			
2.1	3.32	3.52	2.4	2.73	3.71	7.97	4.1	11.19	2.87		3.6	9.81	2.03			
2.73	2.23	11.24	3.78	3.71	2.62	2.67	2.52	4.78	3.63		2.82	4.45	3.1			
2.82	2.92	8.41	4.95	3.89	3.44	2.67	3.63	9.15	2.52		4.06	8.41	4.1			
3.32	2.62	2.52	3.01	3.23	3.63	6.16	2.03	12.34	3.48		3.15	2.16	6.59			
3.15	2.4	3.75	2.29	3.1	2.23	5.17	3.23	2.16	3.06		4.23	5.14	3.44			
3.1	11.87	2.29	3.63	5.11	4.81	4.33	7.82	2.35	3.15		10.79	4.42	3.75			
4.54	2.1	3.56	4.51	8.51	3.36	4.72	2.97	3.71	3.6		2.92	3.06	3.01			
2.92	2.97	2.16	3.75	3.23	6.21	3.1	9.44	3.78	2.67		3.75	7.25	2.73			
4.2	6.49	3.28	3.01	3.01	9.99	3.44	3.52	4.23	2.23		2.1	3.48	4.57			
10.74	2.29	2.97	2.82	3.93	2.23	8.76	3.44	9.53	3.48		2.52	9.31	2.4			
3.23	2.35	4.54	8.46	6.38	2.62	7.12	6.96	4.26	4.2		3.71	5.91	3.71			
5.19	4.03	3.52	3.48	7.71	3.4	4.36	2.82	8.36	3.4		2.67	3.01	2.87			
4.45	3.1	2.57	2.23	3.15	3.06	2.78	2.97	2.1	3.52		4.36	3.19	3.15			
3.85	2.78	2.35	3.4	3.32	3.85	3.85	3.23	2.87	3.15		8.62	4.23	3.36			
13.09	3.67	3.28	7.99	3.96		2.1	7.62	2.52	5.5		3.36	2.03	9.5			
2.57	2.29	2.4	3.52	2.82		2.82	3.28	2.1	3.36		4.29		4.63			
10.44	3.32	9.46	4.1	3.89		3.78	4.29	3.52	3.1		2.73		2.16			
7.34	4.1	8.89	10.17	8.26		3.63	3.19	2.67	2.62		3.56		2.4			
4.48	3.4	3.06	2.35	3.06		4.42	9.03	4.33	3.96		2.87		2.62			
3.85	3.48	2.4	2.92	2.73		3.78	3.52	7.58	3.06		7.49		2.82			
2.46	11.14	3.56	4.72	4.92		3.48	2.97	3.71	10.24		3.01		4.06			
	2.78	4.23	2.35	3.67		4.39	2.78	3.01	7.6		2.62		3.67			
	3.67	2.1	5.89	3.89			8.34	5.43	4.57		5.03		3.52			
	2.97		4.06	3.01				4.03	3.52		7.1		4.89			
	3.01			3.01				3.1	5.09		3.4		8.52			
	4.6			7.92				3.01	4.39		10.92		11.09			
	4.2			3.6				12.01	3.67		3.1		3.75			
	2.92			3.67				2.03	6.96		2.29					
				3.63				3.85	2.97		3.44					
				5.82				8.06			2.35					
				7.75				3.67			2.97					
				3.85				2.78			18.11					
								3.19			3.89					
								2.82			8.09					
								8.65			3.01					
								6.84			2.87					
								3.19			3.36					
								4.16			3.06					
								4.36			4.2					
								6.03			4.78					
								5.4			3.48					
								3.23								
